tid	uid	text	date	gender	age	city	state	country	ethnicity	label
2644839796776027377	-8252069057355830367	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 537 31 24 1623 55 37 864 28 36 318 40 7 1179 35 16 4 552 10 37 113 8 43 20 861	2017-4-6	1	1	Detroit	Michigan	1	1	1
8856672784334843180	903234654271129616	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2626 10 9 41 2679 8953 11 6 24 3778 7 97 105 814	2017-4-5	1	1	x	Georgia	1	0	1
7129028733706414364	-4280847412041604301	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 52 25 56 10 4 180 1740 2862 518 13 311 974 6 720 2 3 90 1	2017-4-3	1	0	x	North Carolina	1	1	0
-3128754516249371141	-5076990509836679990	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 4305 11092 48 6 6034 99 3221 47 10 14517 546 5531 48 127 34 7 161 534 39 5 25 905 14	2017-4-8	1	1	Norcross	Georgia	1	1	1
2666254155600955999	133676372472195499	0 0 0 0 0 0 0 0 0 0 0 269 4 1216 11 1021 5 34 64 183 2379 119 5 34 64 183 2379 119 12 788 58 61 9412 4 4070 10 196 14 330 2	2017-4-1	1	1	Newark	New Jersey	1	1	0
1860154344828930301	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 99 6 1530 12 2 90 1	2015-2-5	1	1	Portland	Oregon	1	0	0
2647905192411736806	2641632416717917771	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 14 2	2017-4-1	0	0	Stephens City	Virginia	1	0	0
-683461162443183193	513293960982271701	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 30 118 2701 101 5 4 4373 12 11596 8 383 4 1942 17 56 70 2024 10820 77	2017-4-5	0	0	x	Texas	1	1	0
8920519861326172628	-7483745192326105746	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 67 13 4 3859 5 271 78 279 177 78 921 11 8 489 260 480 5015 12 4 1087 1352 3	2015-3-12	1	0	Atlanta	Georgia	1	1	1
-965597947271098742	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 37 134 37 313 46 1784 753 28 55 1426 5 1676 64 5401 74 37 853 89 1024 37 689 4 14	2015-2-4	1	0	Independence	Kansas	1	0	1
1746553694512699351	-4363706701973404205	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 767 13 56 10 74 5 1146 194 4 6347 3	2015-3-2	0	1	Brisbane	Queensland	0	0	0
5186687745342893890	5637211894285505244	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6915 10 4159 7040 21 12888 8 14 2	2017-4-3	0	0	x	x	0	1	0
3102850882261744858	-3926101532398578999	0 0 0 0 0 0 0 0 0 0 0 0 0 1 153 383 180 10 4 144 16 448 109 7 667 169 4 582 713 12 657 9 65 355 4 144 11 24 478 397	2017-4-1	0	1	Gold Hill	Oregon	1	1	0
3731867768740963557	-8488259890860995598	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 42 1967 8 4 8481 593 21 72 10 196 1672 7 190 65 3459 670 8481 115 179	2017-3-31	0	1	Dallas	Texas	1	1	0
-4690481564804570833	9146605118240876214	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 608 7 43 98 41 4 56 12962 12 7124 1 160 4216 4 8418 169 4093 524 179	2017-3-31	1	1	x	Virginia	1	0	1
-7458472158866528515	-1518306931740729743	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 446 24 1791 411 7 347 20 2254 7030 8 3143 9592	2017-4-7	1	1	x	Washington	1	0	1
2952141388884056329	7936651775985734017	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 836 176 11 664 3	2015-3-2	1	1	Adelaide	South Australia	0	0	0
-5139033662777045339	5693876266770334703	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 54 44 961 1775 3	2015-3-11	1	1	Wynantskill	New York	1	1	0
6202890871997745574	3592078862035256190	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 146 7 1330 49 65 57 5 136 29 4 1382 2220 3 3 14 2	2017-4-5	1	0	Vista	California	1	0	0
3007347745427701607	-3088534603658058654	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5698 4556 11090 829 4556 158 4556 829 14 2	2017-4-4	1	0	Miami	Florida	1	1	1
-3638580874989283699	616537933352539525	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6765 13 4 685 10 2082 10603 4433 1061 42 2 2	2017-4-5	0	0	Toronto	Ontario	0	0	0
-484659185143886584	-1014491609841251382	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 154 8 300 207 127 107 19 144 2380 978 59 3	2015-3-11	1	1	Sydney	New South Wales	0	0	1
-3088204390119289801	6125077253893521422	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 554 27 3742 5 4844 27 5878 11 460 44 13 1401 2	2017-4-2	0	1	New York	New York	1	1	0
8568053994952019148	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 17 699 55 7 87 17 36 47 10 1156 129 1179 350 3882 10 1480 47 10 20 6270 248 44 3974 5 4 1156 4873	2015-2-28	1	1	Portland	Oregon	1	0	0
-6224946446508901534	3761237543547247899	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 867 10 10 4 1093 3586 41 3846 1356 138 60 4451 572 178 67 2	2017-3-31	1	1	Stoke-on-Trent	England	0	0	0
7604483813264701714	7342490290346658944	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 429 59 477 23 8 123 59 597 23 623 516 41 2	2017-3-30	0	1	Beverly Hills	California	1	1	1
-5874374583853712570	-5601274852547681468	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 517 23 21 34 17 156 58 25 354 5 4 4376 160 25 2456 583 185 9 43 89 34 12 2016 603	2017-4-1	1	1	Los Angeles	California	1	1	1
6340472289454596880	8818230145242321329	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 31 55 61 7 83 9 192 16 4 1222 1105 10 6 333 2004 160 223 23 9 283 22 374 29 3322	2017-4-3	0	1	Philadelphia	Pennsylvania	1	1	0
-2809879497294064242	4027095524179948622	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 74 59 64 265 8 627 33 37 49 65 73 9 590 4 113 107 68 68 68 2	2017-4-3	1	1	Orlando	Florida	1	1	1
2503204371317310618	-7666684082703914556	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 17 166 25 10167 16 4 858 485 9 283 314 65 7 49 87 185 7 870 2	2017-4-3	0	0	Lansing	MI	1	1	1
-4555735265370627605	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 96 70 6 206 871 6874	2015-2-22	1	0	Independence	Kansas	1	0	1
-6147787729013646906	3994617782543645466	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 248 154 8 300 145 28 105 40 37 2664 103 63 123 33 234 483 4 6406 109 562 30 99 268 3	2015-3-11	0	1	x	Hawaii	1	0	1
-4961187589191581323	5627390235986902100	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 155 1184 140 25 2811 7048 2457 13 11996 1307 29 71 2	2017-4-4	0	0	Washington	District of Columbia	1	1	0
9071663393632765952	-7556471461701104635	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2973 107 1492 24	2017-4-8	0	1	x	England	0	1	1
9001577066758292640	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 9195 1150 11 6 251 861 33 7 2928 20 135 95 8 18 3965 28 36 827 40 9 97 50 19 51 27 524	2015-2-28	1	1	Portland	Oregon	1	0	0
2761795385141726925	-6741161219020916836	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 412 134 316 6 149 64 648 5 3184 12 6 3117 514 62 222	2017-4-3	1	1	Washington	District of Columbia	1	0	0
-7192916909464373398	4224575161554471226	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 370 348 24 365 9 575 690 23 6 450 473	2017-4-1	1	1	x	California	1	1	1
-2782157587149049818	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 2246 147 3 484 3 2 1 3 3	2015-2-3	1	0	Independence	Kansas	1	0	1
8832917779480580651	-8969192040757486801	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 2987 817 5113 12 11 4309 6 2361 7288 3128 4 3808 3587 40 5792 61 30 2	2017-4-1	0	0	Cairo	Cairo Governorate	0	1	1
5552243743425643901	-7663668799902627894	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36 26 1658 5 9602 9 28 36 26 1735 25 4 111 56 225 4 2336 5761 243 95	2017-4-1	1	1	Augusta	Georgia	1	1	0
7364319243569377502	6945052662059957559	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102 26 4423 4 180 4161 56 12 27 523 28 738 44 13 1133 2	2017-4-3	0	1	New York	New York	1	1	0
-4321433698922600368	-7222067352781798840	0 0 0 0 0 0 0 0 0 0 0 0 0 0 26 288 62 264 1048 7969 7969 398 780 13 222 1767 13 6 322 1539 3802 1954 112 1954 112 1954 112 1048 1489 2	2017-4-6	1	1	Doncaster	England	0	0	0
-2348541827701159675	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 256 7 625 766 2465 2022 353 39 32 46 5 271 18 16	2015-5-4	1	1	Portland	Oregon	1	0	0
-6079055501096556955	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 177 132 7 183 9 201 144 23 4 386	2015-2-26	1	1	Portland	Oregon	1	0	0
2885153606015727075	6417418905808670723	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 22 4099 5 50 259 9 52 5 4094 27 44 13 702 2	2017-4-8	0	1	Atlanta	Georgia	1	1	1
2233375873877882350	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 430 11 541 10 6 622 12 4 1017 31 51 54 655 261 339 5 148 94	2015-3-12	1	1	Portland	Oregon	1	0	0
-2085221874473985559	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 514 28 45 5777 22 37	2015-2-18	1	0	Independence	Kansas	1	0	1
-1201589815735046325	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 9 224 12 20 1023 57 132 7 26 65 19 412 43 1959 8 1992	2015-3-13	1	1	Portland	Oregon	1	0	0
-3984949123453323269	-1599985843788136775	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 4 11 31 24 1164 643 502 502 643	2017-4-5	0	1	x	Buenos Aires	0	1	1
8986065233879480898	-3663372248299613813	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 17 889 13 86 59 8 62 124 5 274 5 2988 8 4 366 117 615	2017-4-7	0	0	Elyria	Ohio	1	0	0
-8025618389883225857	-8687244730734642291	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 131 6 647 836 11303 2	2017-4-2	1	1	San Francisco	California	1	0	1
-76319472151059853	91265817249810359	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 88 116 16 3 3 3 3 2	2015-3-13	1	1	Melbourne	Victoria	0	0	0
-7849656945772690614	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 34 9 59 21 27 13295 1651 5573 2888 2468 54 67 5 464 66 8724 4867 70 94 6996 13 45 7 104	2015-5-9	1	1	Portland	Oregon	1	0	0
7352882626641035249	8284022177970182477	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 114 329 49 137 273 107 2	2017-3-31	1	1	Sydney	New South Wales	0	0	1
9138484130611786644	-8041937206188495641	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 12386 483 811 11706 1247 4947 17 71 143 651 744 5 2089 119 21 6 6346 1456 4475 14 2	2017-4-4	0	1	x	x	0	1	0
2700897298794391322	-7688946365169934019	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 4 2106 1036 23 17 37 65 36 1540 1603 35 21 17 507 142 550 2	2017-4-6	1	0	Chicago	Illinois	1	0	0
169099176237755590	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 840 6 3780 5 1513 442 5756 8075 12 3870 3223 818	2015-2-9	1	1	Portland	Oregon	1	0	0
7970706347338961869	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 1 1 316 115 199 59 21 1383 773 297 38 49 104 5 5459 16 1221 5 513 46 504 14	2015-2-7	1	0	Independence	Kansas	1	0	1
3859162071944113888	2324287725964079170	0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 61 25 29 388 8 848 526 313 10 86 195 85 276 263 8 214 9 65 6 67 8 359 13 819 865	2017-3-31	1	1	Los Angeles	California	1	0	0
-2132800214078453271	-2293180168487378857	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 45 200 17 1210 1466 5401 57 39 18 11016	2015-2-5	1	0	Independence	Kansas	1	0	1
6150570594668114192	8781244589971851375	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 11 6 12 1952 37 22 10 9027 7367 8 10 88 1853 3	2017-3-31	1	1	Dallas	Texas	1	0	0
1165937868878834757	4695838839586635786	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 146 656 10 4 1767 12 20 3288 380 145 751 16 74 31 9 65 36 194	2017-4-3	0	1	x	Pennsylvania	1	1	0
-3367910569826813894	-2510692381243628097	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 49 571 17 12105 10 3228 140 4 24 1391 7310 17 39 81 14 2	2017-4-3	0	1	x	California	1	1	1
-6133466531825988368	3453630549750657314	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4594 16 876 218 1881 1706 352 1545 16 2408 7219 2192 2	2017-4-2	1	0	Harrisburg	Pennsylvania	1	0	0
746439910833398900	6549774296083480171	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 102 109 2492 16 4 3776 2307 10 1256 1011 44 13 702 2	2017-4-7	0	1	Durham	North Carolina	1	1	0
-1421378319950988215	-340733999048610911	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 9 24 1381 23 603 2	2017-4-8	0	1	Knoxville	Tennessee	1	1	1
-3048544422452094385	-2330704949343439244	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5074 3 2395 12 69 803 5 25 1148 36 109 4859 6 12 20 1982 68 3 2	2017-4-5	0	0	Dubai	Dubai	0	1	0
-816219371333329825	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 1 1 510 795	2015-3-13	1	1	Portland	Oregon	1	0	0
-8356585488091965924	-5165279612583891200	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 3037 43 98 12 3379 2	2017-3-31	0	1	New York	New York	1	0	1
701764601812595498	1056932469340238404	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 9 99 783 2370 98 35 1809 2	2017-4-7	1	1	Durham	North Carolina	1	1	1
-6354126642457130743	7599016385716654544	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 49 434 57 86 59 49 33 33 476 6 24 2500	2017-4-2	1	1	Stony Brook	New York	1	0	1
-7392838999578502709	-5877892419475804701	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12598 507 431 2236 103 918 5 1553 21 27 1911 2 2	2017-4-4	0	0	Chicago	Illinois	1	1	1
1186641037036792975	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 49 313 45 1706 11790 70 229 30 86 2433 2715 13 251 411	2015-2-4	1	1	Portland	Oregon	1	0	0
4943870468106510533	-3813885764477618309	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 61 168 232 209 483 5 3255 4 866 67 8 17 764 25 44 470 4489 35 41 44 2	2017-4-8	1	1	Manila	Metro Manila	0	1	0
-7189259513888084597	8005953384166406357	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 11 60 1355 1 17 32 1715 6 806 10 75 12 75 8 2993 3616 57 131 7 610 501	2017-4-8	1	0	Gaborone	South-East District	0	1	0
3187201832516261587	7755960121928562285	0 0 0 0 0 0 0 0 0 0 0 0 1 143 185 9 2732 27 710 965 113 5 2028 16 69 9711 102 6 4935 235 932 4 1193 31 9 52 30 6 450 473	2017-3-31	1	0	Kent	Washington	1	0	1
2964655714669423663	4815775558197055431	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 128 55 7 39 427 77 8 38 145 1062 2060 13 358 273	2017-4-3	0	1	Westminster	CO	1	1	0
1254377448404446189	3154911593579151184	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 123 269 45 84 91 427 62 330 3 376 1427 2 1 3 2	2017-4-5	0	0	x	x	0	1	1
-4221136708060434212	6976934317027306607	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1079 219 4 3447 11720 5 245 2274 567 219 18 5 1414 12 27 14 2	2017-4-6	0	0	Austin	Texas	1	0	0
3377451506007103759	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2	2015-3-13	1	1	Portland	Oregon	1	0	0
1527921208395408	6717571343905399889	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 4 191 629 323 72 140 4290 1283 3116 1387 54 1206 90 1 2	2017-4-5	1	0	Tampa	Florida	1	1	1
-4580675811924085269	2053100180784421555	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 14259 11 24 390 2	2017-3-31	1	1	São Paulo	State of São Paulo	0	1	1
2742764620670123578	-6821103918309145840	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 7574 333 6443 21 162 9526 333 24 6149	2017-4-2	0	1	San Francisco	California	1	0	1
8467792646895168784	4117036878903430245	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 80 2116 7 30 1561 4 80 12 14303 427 21 20 2652 8 1046 51 101 6 472 80 10 14 2	2017-4-6	1	1	Halesowen	England	0	0	0
-6619148411284808608	6708418020277259791	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3118 249 374 8220 53 206 11735 53 61 6736 3 2 3	2017-4-2	1	1	x	Maryland	1	1	0
-8800783410110462150	-1188600114133007892	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 173 518 387 1427 61 130 1476 233 29 2 1449 160 2 92	2017-4-6	1	0	Springdale	Arkansas	1	0	1
1008781559750294609	4926862304955734550	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 1 8 7 22 997 38 22 1195 2839 605 4 8191 2602 11 5819 2776 28 36 26 2434 14	2015-3-12	1	1	Portland	Oregon	1	0	0
-5074394196781653900	-6802249350963389560	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 111 1586 17 7 52 169 334 1310 2852 6894 268 18 68 2	2017-4-4	0	0	Rembau	Negeri Sembilan	0	1	0
1954568798348929429	3234665550792492196	0 0 0 0 0 0 0 0 0 0 0 15 1 23 36 6 114 166 7 49 198 6 127 193 23 5438 485 164 11 4429 4 581 4651 13 8303 537 185 4 2819 14	2017-4-1	1	0	x	Michigan	1	1	1
-6960670753329560945	-4944443350885842744	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 15 1 73 97 9 1466 18 47 17 9 136 647 53 201 12 17 647 53 1412 3780	2017-4-7	1	1	x	x	0	0	1
8892543035395420459	-6541329746076032609	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 88 57 1 2035 4068 259 33 19 105 55 9 134 356 8742 3 2	2015-3-12	0	0	x	New South Wales	0	0	0
-2834165694444646934	4989941553110161021	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8139 9681 16 58 579 871 16 9450 21 92 358 396 12 1044 227 170 3 3 3	2017-4-1	0	0	Kitchener	Ontario	0	0	0
-6361198522910048640	-8121076431494680117	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 158 3056 16 3 511 4 3687 3 3 3 2 2	2017-4-5	0	0	London	England	0	0	0
